striker,non_striker,runs
HMRKB Herath,SM Warnapura,0
HMRKB Herath,NT Paranavitana,16
NT Paranavitana,HMRKB Herath,42
TT Samaraweera,AD Mathews,287
AD Mathews,TT Samaraweera,293
T Thushara,KMDN Kulasekara,10
KMDN Kulasekara,T Thushara,10
T Thushara,BAW Mendis,5
BAW Mendis,T Thushara,1
AD Mathews,HMRKB Herath,261
HMRKB Herath,AD Mathews,160
AD Mathews,T Thushara,5
T Thushara,AD Mathews,1
BAW Mendis,AD Mathews,0
AD Mathews,BAW Mendis,12
DPMD Jayawardene,AD Mathews,559
AD Mathews,DPMD Jayawardene,558
TM Dilshan,KMDN Kulasekara,6
KMDN Kulasekara,TM Dilshan,1
TM Dilshan,HMRKB Herath,16
HMRKB Herath,TM Dilshan,7
KC Sangakkara,AD Mathews,503
AD Mathews,KC Sangakkara,580
TM Dilshan,NT Paranavitana,811
NT Paranavitana,TM Dilshan,566
T Thushara,M Muralitharan,0
M Muralitharan,T Thushara,9
TT Samaraweera,CK Kapugedera,37
CK Kapugedera,TT Samaraweera,35
TT Samaraweera,KTGD Prasad,6
KTGD Prasad,TT Samaraweera,22
TT Samaraweera,HMRKB Herath,18
HMRKB Herath,TT Samaraweera,43
DPMD Jayawardene,CK Kapugedera,3
CK Kapugedera,DPMD Jayawardene,7
HMRKB Herath,DPMD Jayawardene,16
DPMD Jayawardene,HMRKB Herath,59
HMRKB Herath,M Muralitharan,13
M Muralitharan,HMRKB Herath,11
M Muralitharan,UWMBCA Welegedara,6
UWMBCA Welegedara,M Muralitharan,11
BAW Mendis,UWMBCA Welegedara,26
UWMBCA Welegedara,BAW Mendis,8
TT Samaraweera,UWMBCA Welegedara,2
UWMBCA Welegedara,TT Samaraweera,24
HAPW Jayawardene,AD Mathews,333
AD Mathews,HAPW Jayawardene,318
AD Mathews,M Muralitharan,17
M Muralitharan,AD Mathews,0
KC Sangakkara,KMDN Kulasekara,79
KMDN Kulasekara,KC Sangakkara,21
HMRKB Herath,HAPW Jayawardene,114
HAPW Jayawardene,HMRKB Herath,106
SL Malinga,HMRKB Herath,64
HMRKB Herath,SL Malinga,49
TT Samaraweera,S Randiv,77
S Randiv,TT Samaraweera,42
SL Malinga,TT Samaraweera,19
TT Samaraweera,SL Malinga,23
S Randiv,KC Sangakkara,25
KC Sangakkara,S Randiv,47
HAPW Jayawardene,S Randiv,19
S Randiv,HAPW Jayawardene,12
BAW Mendis,HAPW Jayawardene,4
HAPW Jayawardene,BAW Mendis,3
HAPW Jayawardene,T Thushara,0
T Thushara,HAPW Jayawardene,4
HAPW Jayawardene,KMDN Kulasekara,44
KMDN Kulasekara,HAPW Jayawardene,24
MF Maharoof,HAPW Jayawardene,18
HAPW Jayawardene,MF Maharoof,27
NLTC Perera,HAPW Jayawardene,38
HAPW Jayawardene,NLTC Perera,54
BAW Mendis,RAS Lakmal,1
RAS Lakmal,BAW Mendis,2
NLTC Perera,HMRKB Herath,33
HMRKB Herath,NLTC Perera,10
NLTC Perera,BAW Mendis,14
BAW Mendis,NLTC Perera,12
HAPW Jayawardene,CRD Fernando,20
CRD Fernando,HAPW Jayawardene,26
CRD Fernando,RAS Lakmal,8
RAS Lakmal,CRD Fernando,0
RAS Lakmal,UWMBCA Welegedara,7
UWMBCA Welegedara,RAS Lakmal,20
HDRL Thirimanne,NT Paranavitana,84
NT Paranavitana,HDRL Thirimanne,95
CRD Fernando,UWMBCA Welegedara,10
UWMBCA Welegedara,CRD Fernando,7
HDRL Thirimanne,KC Sangakkara,197
KC Sangakkara,HDRL Thirimanne,258
KC Sangakkara,HMRKB Herath,73
HMRKB Herath,KC Sangakkara,60
AD Mathews,JK Silva,192
JK Silva,AD Mathews,148
AD Mathews,NLTC Perera,0
NLTC Perera,AD Mathews,1
HMRKB Herath,UWMBCA Welegedara,45
UWMBCA Welegedara,HMRKB Herath,100
HMRKB Herath,CRD Fernando,0
CRD Fernando,HMRKB Herath,7
TT Samaraweera,JK Silva,4
JK Silva,TT Samaraweera,0
JK Silva,NLTC Perera,12
NLTC Perera,JK Silva,21
JK Silva,HMRKB Herath,24
HMRKB Herath,JK Silva,58
TT Samaraweera,LD Chandimal,80
LD Chandimal,TT Samaraweera,68
TT Samaraweera,NLTC Perera,25
NLTC Perera,TT Samaraweera,42
TT Samaraweera,CRD Fernando,1
CRD Fernando,TT Samaraweera,0
KC Sangakkara,LD Chandimal,369
LD Chandimal,KC Sangakkara,403
KC Sangakkara,NLTC Perera,0
NLTC Perera,KC Sangakkara,0
TM Dilshan,HDRL Thirimanne,69
HDRL Thirimanne,TM Dilshan,38
LD Chandimal,NLTC Perera,20
NLTC Perera,LD Chandimal,5
KTGD Prasad,LD Chandimal,28
LD Chandimal,KTGD Prasad,60
UWMBCA Welegedara,LD Chandimal,0
LD Chandimal,UWMBCA Welegedara,3
NT Paranavitana,HAPW Jayawardene,3
HAPW Jayawardene,NT Paranavitana,1
