striker,non_striker,runs
Aftab Ahmed,Imrul Kayes,8
Shahadat Hossain,Shafiul Islam,17
Shafiul Islam,Shahadat Hossain,13
Junaid Siddique,Jahurul Islam,83
Jahurul Islam,Junaid Siddique,84
Jahurul Islam,Mohammad Ashraful,85
Mohammad Ashraful,Jahurul Islam,84
Jahurul Islam,Shakib Al Hasan,14
Shakib Al Hasan,Jahurul Islam,18
Rubel Hossain,Robiul Islam,24
Robiul Islam,Rubel Hossain,22
Shahadat Hossain,Junaid Siddique,0
Junaid Siddique,Shahadat Hossain,1
Mahmudullah,Robiul Islam,21
Robiul Islam,Mahmudullah,0
Jahurul Islam,Tamim Iqbal,66
Tamim Iqbal,Jahurul Islam,100
Mushfiqur Rahim,Shafiul Islam,31
Shafiul Islam,Mushfiqur Rahim,24
Mahmudullah,Abdur Razzak,20
Abdur Razzak,Mahmudullah,1
Shafiul Islam,Abdur Razzak,11
Abdur Razzak,Shafiul Islam,61
Tamim Iqbal,Shahadat Hossain,10
Shahadat Hossain,Tamim Iqbal,2
Abdur Razzak,Rubel Hossain,4
Rubel Hossain,Abdur Razzak,4
Junaid Siddique,Mahmudullah,21
Mahmudullah,Junaid Siddique,30
Naeem Islam,Abdur Razzak,16
Abdur Razzak,Naeem Islam,4
Shahadat Hossain,Naeem Islam,22
Naeem Islam,Shahadat Hossain,35
Rubel Hossain,Naeem Islam,22
Naeem Islam,Rubel Hossain,18
Naeem Islam,Shafiul Islam,19
Shafiul Islam,Naeem Islam,53
Jahurul Islam,Mahmudullah,9
Mahmudullah,Jahurul Islam,6
Naeem Islam,Shakib Al Hasan,97
Shakib Al Hasan,Naeem Islam,188
Abdur Razzak,Shakib Al Hasan,8
Shakib Al Hasan,Abdur Razzak,9
Shakib Al Hasan,Rubel Hossain,10
Rubel Hossain,Shakib Al Hasan,0
Tamim Iqbal,Raqibul Hasan,66
Raqibul Hasan,Tamim Iqbal,50
Rubel Hossain,Mushfiqur Rahim,5
Mushfiqur Rahim,Rubel Hossain,55
Shahadat Hossain,Mohammad Ashraful,38
Mohammad Ashraful,Shahadat Hossain,25
Mohammad Ashraful,Mahmudullah,45
Mahmudullah,Mohammad Ashraful,37
Imrul Kayes,Shahriar Nafees,28
Shahriar Nafees,Imrul Kayes,15
Shahriar Nafees,Raqibul Hasan,34
Raqibul Hasan,Shahriar Nafees,9
Shahriar Nafees,Naeem Islam,16
Naeem Islam,Shahriar Nafees,10
Naeem Islam,Nasir Hossain,37
Nasir Hossain,Naeem Islam,77
Elias Sunny,Naeem Islam,0
Naeem Islam,Elias Sunny,0
Raqibul Hasan,Imrul Kayes,0
Imrul Kayes,Raqibul Hasan,10
Nasir Hossain,Suhrawadi Shuvo,15
Suhrawadi Shuvo,Nasir Hossain,15
Nasir Hossain,Shahadat Hossain,58
Shahadat Hossain,Nasir Hossain,19
Naeem Islam,Suhrawadi Shuvo,0
Suhrawadi Shuvo,Naeem Islam,0
Nazimuddin,Tamim Iqbal,19
Tamim Iqbal,Nazimuddin,47
Nazimuddin,Shahriar Nafees,19
Shahriar Nafees,Nazimuddin,28
Nazimuddin,Mohammad Ashraful,1
Mohammad Ashraful,Nazimuddin,1
Nazimuddin,Mushfiqur Rahim,31
Mushfiqur Rahim,Nazimuddin,24
Nazimuddin,Shakib Al Hasan,34
Shakib Al Hasan,Nazimuddin,59
Mahmudullah,Nazimuddin,31
Nazimuddin,Mahmudullah,19
Nasir Hossain,Mahmudullah,91
Mahmudullah,Nasir Hossain,108
Elias Sunny,Nasir Hossain,2
Nasir Hossain,Elias Sunny,14
Nasir Hossain,Rubel Hossain,14
Rubel Hossain,Nasir Hossain,3
Nazimuddin,Nasir Hossain,2
Nasir Hossain,Nazimuddin,3
Elias Sunny,Mushfiqur Rahim,18
Mushfiqur Rahim,Elias Sunny,32
Elias Sunny,Shahadat Hossain,18
Shahadat Hossain,Elias Sunny,36
Mahmudullah,Shahriar Nafees,0
Shahriar Nafees,Mahmudullah,5
Shahriar Nafees,Nasir Hossain,15
Nasir Hossain,Shahriar Nafees,7
Shahriar Nafees,Shakib Al Hasan,76
Shakib Al Hasan,Shahriar Nafees,111
Shahadat Hossain,Nazmul Hossain,1
Nazmul Hossain,Shahadat Hossain,0
Robiul Islam,Shahadat Hossain,0
Shahadat Hossain,Robiul Islam,6
Elias Sunny,Nazmul Hossain,0
Nazmul Hossain,Elias Sunny,2
Nazmul Hossain,Robiul Islam,6
Robiul Islam,Nazmul Hossain,0
Tamim Iqbal,Naeem Islam,28
Naeem Islam,Tamim Iqbal,16
Nasir Hossain,Sohag Gazi,156
Sohag Gazi,Nasir Hossain,143
Mahmudullah,Sohag Gazi,16
Sohag Gazi,Mahmudullah,19
Abul Hasan,Mahmudullah,108
Mahmudullah,Abul Hasan,75
Abul Hasan,Rubel Hossain,12
Rubel Hossain,Abul Hasan,26
Nasir Hossain,Abul Hasan,44
Abul Hasan,Nasir Hossain,17
Anamul Haque,Jahurul Islam,4
Jahurul Islam,Anamul Haque,20
Anamul Haque,Mohammad Ashraful,10
Mohammad Ashraful,Anamul Haque,30
Mominul Haque,Mohammad Ashraful,60
Mohammad Ashraful,Mominul Haque,49
Abul Hasan,Elias Sunny,0
Elias Sunny,Abul Hasan,0
