striker,non_striker,runs
AB Barath,TM Dowlin,8
TM Dowlin,AB Barath,4
TM Dowlin,S Chanderpaul,7
S Chanderpaul,TM Dowlin,2
TM Dowlin,DJ Bravo,5
DJ Bravo,TM Dowlin,0
TM Dowlin,BP Nash,12
BP Nash,TM Dowlin,18
TM Dowlin,D Ramdin,23
D Ramdin,TM Dowlin,54
SJ Benn,TM Dowlin,28
TM Dowlin,SJ Benn,9
JE Taylor,TM Dowlin,8
TM Dowlin,JE Taylor,0
R Rampaul,TM Dowlin,1
TM Dowlin,R Rampaul,6
AB Barath,S Chanderpaul,18
S Chanderpaul,AB Barath,2
DJ Bravo,AB Barath,23
AB Barath,DJ Bravo,42
AB Barath,BP Nash,25
BP Nash,AB Barath,7
D Ramdin,AB Barath,6
AB Barath,D Ramdin,6
SJ Benn,KAJ Roach,25
KAJ Roach,SJ Benn,20
SJ Benn,R Rampaul,50
R Rampaul,SJ Benn,41
DJG Sammy,DJ Bravo,9
DJ Bravo,DJG Sammy,25
DJG Sammy,BP Nash,60
BP Nash,DJG Sammy,30
BP Nash,KAJ Roach,1
KAJ Roach,BP Nash,2
BP Nash,R Rampaul,25
R Rampaul,BP Nash,46
CH Gayle,BP Nash,154
BP Nash,CH Gayle,102
CH Gayle,DJ Bravo,29
DJ Bravo,CH Gayle,27
CH Gayle,DJG Sammy,15
DJG Sammy,CH Gayle,10
CH Gayle,R Rampaul,4
R Rampaul,CH Gayle,14
KAJ Roach,CH Gayle,8
CH Gayle,KAJ Roach,6
TM Dowlin,CH Gayle,68
CH Gayle,TM Dowlin,118
TM Dowlin,RR Sarwan,24
RR Sarwan,TM Dowlin,14
RR Sarwan,N Deonarine,32
N Deonarine,RR Sarwan,22
N Deonarine,BP Nash,90
BP Nash,N Deonarine,65
BP Nash,DJ Bravo,20
DJ Bravo,BP Nash,27
D Ramdin,R Rampaul,14
R Rampaul,D Ramdin,2
D Ramdin,KAJ Roach,68
KAJ Roach,D Ramdin,50
KAJ Roach,GC Tonge,17
GC Tonge,KAJ Roach,25
KAJ Roach,R Rampaul,53
R Rampaul,KAJ Roach,63
S Chanderpaul,N Deonarine,207
N Deonarine,S Chanderpaul,231
N Deonarine,DJ Bravo,23
DJ Bravo,N Deonarine,26
N Deonarine,D Ramdin,39
D Ramdin,N Deonarine,22
D Ramdin,S Shillingford,32
S Shillingford,D Ramdin,9
NT Pascal,D Ramdin,2
D Ramdin,NT Pascal,24
CH Gayle,N Deonarine,70
N Deonarine,CH Gayle,45
S Shillingford,SJ Benn,78
SJ Benn,S Shillingford,78
S Shillingford,R Rampaul,8
R Rampaul,S Shillingford,6
NT Pascal,R Rampaul,10
R Rampaul,NT Pascal,18
DJ Bravo,S Shillingford,9
S Shillingford,DJ Bravo,7
DM Richards,CH Gayle,17
CH Gayle,DM Richards,22
DJ Bravo,SJ Benn,4
SJ Benn,DJ Bravo,11
BJ Bess,SJ Benn,11
SJ Benn,BJ Bess,13
S Chanderpaul,S Shillingford,57
S Shillingford,S Chanderpaul,49
S Chanderpaul,KAJ Roach,88
KAJ Roach,S Chanderpaul,92
BJ Bess,S Chanderpaul,0
S Chanderpaul,BJ Bess,0
CH Gayle,DM Bravo,184
DM Bravo,CH Gayle,102
CS Baugh,CH Gayle,0
CH Gayle,CS Baugh,1
CS Baugh,DJG Sammy,81
DJG Sammy,CS Baugh,130
CS Baugh,AD Russell,8
AD Russell,CS Baugh,2
CS Baugh,S Shillingford,26
S Shillingford,CS Baugh,10
S Chanderpaul,DM Bravo,459
DM Bravo,S Chanderpaul,456
BP Nash,DM Bravo,54
DM Bravo,BP Nash,62
DM Bravo,DJ Bravo,0
DJ Bravo,DM Bravo,1
DJ Bravo,CS Baugh,19
CS Baugh,DJ Bravo,22
CS Baugh,SJ Benn,1
SJ Benn,CS Baugh,0
S Shillingford,KAJ Roach,12
KAJ Roach,S Shillingford,10
DS Smith,DM Bravo,120
DM Bravo,DS Smith,99
BP Nash,CS Baugh,13
CS Baugh,BP Nash,9
DJG Sammy,SJ Benn,7
SJ Benn,DJG Sammy,14
LMP Simmons,DM Bravo,62
DM Bravo,LMP Simmons,67
S Chanderpaul,CS Baugh,95
CS Baugh,S Chanderpaul,110
LMP Simmons,KAJ Roach,16
KAJ Roach,LMP Simmons,9
R Rampaul,S Chanderpaul,38
S Chanderpaul,R Rampaul,36
D Bishoo,S Chanderpaul,43
S Chanderpaul,D Bishoo,28
KC Brathwaite,LMP Simmons,3
LMP Simmons,KC Brathwaite,17
DM Bravo,RR Sarwan,23
RR Sarwan,DM Bravo,30
MN Samuels,BP Nash,0
BP Nash,MN Samuels,6
MN Samuels,CS Baugh,27
CS Baugh,MN Samuels,25
MN Samuels,KAJ Roach,35
KAJ Roach,MN Samuels,14
R Rampaul,D Bishoo,17
D Bishoo,R Rampaul,14
LMP Simmons,AB Barath,40
AB Barath,LMP Simmons,59
AB Barath,RR Sarwan,13
RR Sarwan,AB Barath,11
AB Barath,DM Bravo,84
DM Bravo,AB Barath,54
R Rampaul,FH Edwards,50
FH Edwards,R Rampaul,24
FH Edwards,D Bishoo,43
D Bishoo,FH Edwards,48
RR Sarwan,D Bishoo,8
D Bishoo,RR Sarwan,13
R Rampaul,MN Samuels,10
MN Samuels,R Rampaul,34
MN Samuels,FH Edwards,3
FH Edwards,MN Samuels,0
DM Bravo,CS Baugh,40
CS Baugh,DM Bravo,86
CS Baugh,R Rampaul,0
R Rampaul,CS Baugh,0
KOA Powell,AB Barath,108
AB Barath,KOA Powell,105
AB Barath,KA Edwards,66
KA Edwards,AB Barath,46
DM Bravo,KA Edwards,381
KA Edwards,DM Bravo,347
CS Baugh,FH Edwards,8
FH Edwards,CS Baugh,0
S Chanderpaul,KA Edwards,81
KA Edwards,S Chanderpaul,126
KC Brathwaite,KA Edwards,198
KA Edwards,KC Brathwaite,252
KC Brathwaite,S Chanderpaul,162
S Chanderpaul,KC Brathwaite,187
DJG Sammy,R Rampaul,42
R Rampaul,DJG Sammy,24
DJG Sammy,FH Edwards,45
FH Edwards,DJG Sammy,17
LMP Simmons,KA Edwards,39
KA Edwards,LMP Simmons,10
KOA Powell,KA Edwards,114
KA Edwards,KOA Powell,112
KA Edwards,KAJ Roach,0
KAJ Roach,KA Edwards,6
KA Edwards,MN Samuels,59
MN Samuels,KA Edwards,71
KA Edwards,CS Baugh,12
CS Baugh,KA Edwards,6
DJG Sammy,KA Edwards,1
KA Edwards,DJG Sammy,1
KA Edwards,FH Edwards,9
FH Edwards,KA Edwards,5
S Chanderpaul,ST Gabriel,1
ST Gabriel,S Chanderpaul,6
FH Edwards,ST Gabriel,7
ST Gabriel,FH Edwards,13
KOA Powell,DM Bravo,325
DM Bravo,KOA Powell,280
KOA Powell,S Chanderpaul,89
S Chanderpaul,KOA Powell,63
MN Samuels,S Shillingford,9
S Shillingford,MN Samuels,0
AB Barath,AB Fudadin,22
AB Fudadin,AB Barath,19
DM Bravo,AB Fudadin,6
AB Fudadin,DM Bravo,3
AB Fudadin,MN Samuels,51
MN Samuels,AB Fudadin,97
MN Samuels,N Deonarine,51
N Deonarine,MN Samuels,29
D Ramdin,SP Narine,14
SP Narine,D Ramdin,11
D Ramdin,TL Best,65
TL Best,D Ramdin,113
KC Brathwaite,AB Barath,90
AB Barath,KC Brathwaite,105
KAJ Roach,CS Baugh,5
CS Baugh,KAJ Roach,22
KOA Powell,MN Samuels,24
MN Samuels,KOA Powell,18
KOA Powell,CS Baugh,4
CS Baugh,KOA Powell,1
KOA Powell,DJG Sammy,1
DJG Sammy,KOA Powell,2
DM Bravo,N Deonarine,92
N Deonarine,DM Bravo,70
N Deonarine,CS Baugh,5
CS Baugh,N Deonarine,9
KAJ Roach,FH Edwards,6
FH Edwards,KAJ Roach,3
AB Barath,DJG Sammy,3
DJG Sammy,AB Barath,4
DJG Sammy,DM Bravo,72
DM Bravo,DJG Sammy,51
DJG Sammy,S Shillingford,46
S Shillingford,DJG Sammy,55
KOA Powell,CH Gayle,271
CH Gayle,KOA Powell,409
KOA Powell,AB Fudadin,33
AB Fudadin,KOA Powell,15
S Chanderpaul,AB Fudadin,0
AB Fudadin,S Chanderpaul,0
AB Fudadin,N Deonarine,22
N Deonarine,AB Fudadin,33
N Deonarine,DJG Sammy,31
DJG Sammy,N Deonarine,37
SP Narine,DJG Sammy,8
DJG Sammy,SP Narine,10
CH Gayle,AB Fudadin,19
AB Fudadin,CH Gayle,12
MN Samuels,SP Narine,14
SP Narine,MN Samuels,1
MN Samuels,TL Best,25
TL Best,MN Samuels,0
D Ramdin,KOA Powell,4
KOA Powell,D Ramdin,2
DJG Sammy,V Permaul,9
V Permaul,DJG Sammy,10
SP Narine,R Rampaul,11
R Rampaul,SP Narine,5
SP Narine,TL Best,0
TL Best,SP Narine,0
SP Narine,S Chanderpaul,9
S Chanderpaul,SP Narine,10
S Chanderpaul,V Permaul,15
V Permaul,S Chanderpaul,47
ST Gabriel,TL Best,0
TL Best,ST Gabriel,6
S Shillingford,TL Best,0
TL Best,S Shillingford,11
ST Gabriel,DJG Sammy,0
DJG Sammy,ST Gabriel,8
DM Bravo,D Ramdin,68
D Ramdin,DM Bravo,81
D Ramdin,ST Gabriel,10
ST Gabriel,D Ramdin,1
S Chanderpaul,TL Best,27
TL Best,S Chanderpaul,63
SP Narine,V Permaul,0
V Permaul,SP Narine,0
SS Cottrell,TL Best,0
TL Best,SS Cottrell,0
S Chanderpaul,SS Cottrell,4
SS Cottrell,S Chanderpaul,5
CH Gayle,TL Best,4
TL Best,CH Gayle,9
LR Johnson,MN Samuels,119
MN Samuels,LR Johnson,73
J Blackwood,S Chanderpaul,225
S Chanderpaul,J Blackwood,228
J Blackwood,D Ramdin,234
D Ramdin,J Blackwood,186
SJ Benn,SS Cottrell,12
SS Cottrell,SJ Benn,6
J Blackwood,JE Taylor,14
JE Taylor,J Blackwood,25
S Chanderpaul,JO Holder,7
JO Holder,S Chanderpaul,3
JO Holder,JE Taylor,16
JE Taylor,JO Holder,16
KK Peters,JE Taylor,0
JE Taylor,KK Peters,5
DS Smith,LR Johnson,25
LR Johnson,DS Smith,24
ST Gabriel,SJ Benn,4
