striker,non_striker,runs
MJ Prior,RJ Sidebottom,22
RJ Sidebottom,MJ Prior,6
A Flintoff,SJ Harmison,0
SJ Harmison,A Flintoff,0
AN Cook,OA Shah,43
OA Shah,AN Cook,38
OA Shah,KP Pietersen,5
KP Pietersen,OA Shah,13
PD Collingwood,RS Bopara,85
RS Bopara,PD Collingwood,71
RS Bopara,TR Ambrose,41
TR Ambrose,RS Bopara,70
AJ Strauss,OA Shah,160
OA Shah,AJ Strauss,86
PD Collingwood,OA Shah,1
OA Shah,PD Collingwood,4
MJ Prior,MS Panesar,20
MS Panesar,MJ Prior,16
MJ Prior,RS Bopara,60
RS Bopara,MJ Prior,61
RS Bopara,SCJ Broad,27
SCJ Broad,RS Bopara,38
RS Bopara,TT Bresnan,1
TT Bresnan,RS Bopara,9
RS Bopara,GP Swann,32
GP Swann,RS Bopara,55
GP Swann,G Onions,10
G Onions,GP Swann,4
KP Pietersen,IJL Trott,667
IJL Trott,KP Pietersen,508
AN Cook,IJL Trott,1252
IJL Trott,AN Cook,1317
IJL Trott,PD Collingwood,43
PD Collingwood,IJL Trott,37
PD Collingwood,G Onions,8
G Onions,PD Collingwood,1
IR Bell,GP Swann,132
GP Swann,IR Bell,147
IR Bell,JM Anderson,70
JM Anderson,IR Bell,55
GP Swann,RJ Sidebottom,7
RJ Sidebottom,GP Swann,0
KP Pietersen,JM Anderson,14
JM Anderson,KP Pietersen,5
IJL Trott,EJG Morgan,95
EJG Morgan,IJL Trott,58
IJL Trott,TT Bresnan,34
TT Bresnan,IJL Trott,29
ST Finn,JM Anderson,59
JM Anderson,ST Finn,72
IR Bell,EJG Morgan,157
EJG Morgan,IR Bell,225
MJ Prior,A Shahzad,10
A Shahzad,MJ Prior,5
PD Collingwood,EJG Morgan,90
EJG Morgan,PD Collingwood,144
EJG Morgan,MJ Prior,109
MJ Prior,EJG Morgan,114
SCJ Broad,ST Finn,39
ST Finn,SCJ Broad,20
MJ Prior,ST Finn,113
ST Finn,MJ Prior,33
GP Swann,ST Finn,25
ST Finn,GP Swann,18
KP Pietersen,EJG Morgan,4
EJG Morgan,KP Pietersen,15
IJL Trott,ST Finn,52
ST Finn,IJL Trott,37
MA Carberry,AN Cook,136
AN Cook,MA Carberry,223
IJL Trott,MA Carberry,24
MA Carberry,IJL Trott,25
MA Carberry,KP Pietersen,34
KP Pietersen,MA Carberry,60
PD Collingwood,MA Carberry,2
MA Carberry,PD Collingwood,0
IR Bell,TT Bresnan,120
TT Bresnan,IR Bell,84
GP Swann,TT Bresnan,69
TT Bresnan,GP Swann,43
SCJ Broad,TT Bresnan,96
TT Bresnan,SCJ Broad,97
TT Bresnan,JC Tredwell,23
JC Tredwell,TT Bresnan,23
JC Tredwell,ST Finn,14
ST Finn,JC Tredwell,0
IR Bell,CT Tremlett,3
CT Tremlett,IR Bell,2
CT Tremlett,JM Anderson,0
JM Anderson,CT Tremlett,0
GP Swann,CT Tremlett,28
CT Tremlett,GP Swann,12
CT Tremlett,ST Finn,11
ST Finn,CT Tremlett,21
IJL Trott,CT Tremlett,0
CT Tremlett,IJL Trott,4
MJ Prior,TT Bresnan,206
TT Bresnan,MJ Prior,135
AN Cook,EJG Morgan,127
EJG Morgan,AN Cook,139
CT Tremlett,MJ Prior,15
MJ Prior,CT Tremlett,39
KP Pietersen,GP Swann,37
GP Swann,KP Pietersen,24
KP Pietersen,CT Tremlett,19
CT Tremlett,KP Pietersen,4
AN Cook,TT Bresnan,44
TT Bresnan,AN Cook,62
IR Bell,RS Bopara,47
RS Bopara,IR Bell,45
SR Patel,IR Bell,2
IR Bell,SR Patel,18
SR Patel,IJL Trott,9
IJL Trott,SR Patel,9
SR Patel,KP Pietersen,43
KP Pietersen,SR Patel,68
SR Patel,TT Bresnan,3
TT Bresnan,SR Patel,5
SR Patel,GP Swann,18
GP Swann,SR Patel,17
SR Patel,JM Anderson,2
JM Anderson,SR Patel,2
SR Patel,ST Finn,0
ST Finn,SR Patel,2
AJ Strauss,EJG Morgan,1
EJG Morgan,AJ Strauss,10
JM Anderson,AJ Strauss,4
AJ Strauss,JM Anderson,3
AJ Strauss,GP Swann,3
GP Swann,AJ Strauss,8
IR Bell,JM Bairstow,232
JM Bairstow,IR Bell,244
AJ Strauss,JM Bairstow,4
JM Bairstow,AJ Strauss,4
AJ Strauss,TT Bresnan,16
TT Bresnan,AJ Strauss,10
TT Bresnan,JM Anderson,29
JM Anderson,TT Bresnan,24
IR Bell,ST Finn,22
ST Finn,IR Bell,9
KP Pietersen,JWA Taylor,99
JWA Taylor,KP Pietersen,34
IR Bell,JWA Taylor,13
JWA Taylor,IR Bell,40
JM Bairstow,MJ Prior,47
MJ Prior,JM Bairstow,58
JM Bairstow,GP Swann,1
GP Swann,JM Bairstow,17
IJL Trott,JWA Taylor,7
JWA Taylor,IJL Trott,4
JM Bairstow,IJL Trott,59
IJL Trott,JM Bairstow,38
NRD Compton,AN Cook,394
AN Cook,NRD Compton,606
SR Patel,AN Cook,4
AN Cook,SR Patel,8
SR Patel,MJ Prior,28
MJ Prior,SR Patel,17
JM Bairstow,KP Pietersen,62
KP Pietersen,JM Bairstow,69
ST Finn,MS Panesar,0
MS Panesar,ST Finn,0
NRD Compton,IJL Trott,105
IJL Trott,NRD Compton,163
NRD Compton,KP Pietersen,1
KP Pietersen,NRD Compton,0
NRD Compton,IR Bell,6
IR Bell,NRD Compton,44
KP Pietersen,JE Root,103
JE Root,KP Pietersen,92
JE Root,MJ Prior,156
MJ Prior,JE Root,238
TT Bresnan,JE Root,38
JE Root,TT Bresnan,55
JE Root,GP Swann,22
GP Swann,JE Root,36
IR Bell,JE Root,518
JE Root,IR Bell,508
JM Bairstow,ST Finn,78
ST Finn,JM Bairstow,20
IJL Trott,JE Root,128
JE Root,IJL Trott,149
TT Bresnan,JM Bairstow,2
JM Bairstow,TT Bresnan,2
IR Bell,CR Woakes,41
CR Woakes,IR Bell,42
GP Swann,SC Kerrigan,8
SC Kerrigan,GP Swann,1
NRD Compton,ST Finn,18
ST Finn,NRD Compton,16
KP Pietersen,ST Finn,12
ST Finn,KP Pietersen,0
JE Root,ST Finn,0
ST Finn,JE Root,0
JE Root,JM Anderson,181
JM Anderson,JE Root,99
JE Root,MS Panesar,0
MS Panesar,JE Root,0
IR Bell,MA Carberry,46
MA Carberry,IR Bell,28
SCJ Broad,CT Tremlett,11
CT Tremlett,SCJ Broad,8
JE Root,CT Tremlett,14
CT Tremlett,JE Root,7
MA Carberry,JE Root,102
JE Root,MA Carberry,69
BA Stokes,IR Bell,144
IR Bell,BA Stokes,125
BA Stokes,MJ Prior,66
MJ Prior,BA Stokes,51
BA Stokes,TT Bresnan,27
TT Bresnan,BA Stokes,8
BA Stokes,KP Pietersen,33
KP Pietersen,BA Stokes,36
KP Pietersen,TT Bresnan,14
TT Bresnan,KP Pietersen,1
IR Bell,GS Ballance,218
GS Ballance,IR Bell,197
GS Ballance,BA Stokes,50
BA Stokes,GS Ballance,73
BA Stokes,SG Borthwick,0
SG Borthwick,BA Stokes,5
SCJ Broad,SG Borthwick,13
SG Borthwick,SCJ Broad,0
WB Rankin,SCJ Broad,13
SCJ Broad,WB Rankin,17
MA Carberry,GS Ballance,20
GS Ballance,MA Carberry,7
JM Anderson,WB Rankin,0
WB Rankin,JM Anderson,0
A Brindle,HC Knight,10
HC Knight,A Brindle,23
SJ Taylor,HC Knight,33
HC Knight,SJ Taylor,9
CM Edwards,HC Knight,20
HC Knight,CM Edwards,9
HC Knight,LS Greenway,9
LS Greenway,HC Knight,4
