striker,non_striker,runs
PJ Hughes,MJ Clarke,123
MJ Clarke,PJ Hughes,109
PJ Hughes,MJ North,0
MJ North,PJ Hughes,5
PJ Hughes,BJ Haddin,27
BJ Haddin,PJ Hughes,18
BJ Haddin,AB McDonald,5
AB McDonald,BJ Haddin,7
BJ Haddin,PM Siddle,181
PM Siddle,BJ Haddin,143
AB McDonald,MG Johnson,69
MG Johnson,AB McDonald,114
AB McDonald,PM Siddle,4
PM Siddle,AB McDonald,0
AB McDonald,BW Hilfenhaus,0
BW Hilfenhaus,AB McDonald,0
MG Johnson,BE McGain,23
BE McGain,MG Johnson,2
BW Hilfenhaus,BE McGain,0
BE McGain,BW Hilfenhaus,0
AB McDonald,MJ Clarke,27
MJ Clarke,AB McDonald,32
MJ Clarke,SR Clark,18
SR Clark,MJ Clarke,13
SM Katich,B Lee,23
B Lee,SM Katich,7
SM Katich,MG Johnson,38
MG Johnson,SM Katich,61
SR Clark,SM Katich,18
SM Katich,SR Clark,11
BJ Haddin,B Lee,30
B Lee,BJ Haddin,49
NM Hauritz,SR Clark,1
SR Clark,NM Hauritz,1
JJ Krejza,B Lee,0
B Lee,JJ Krejza,4
JJ Krejza,MG Johnson,19
MG Johnson,JJ Krejza,18
PM Siddle,JJ Krejza,23
JJ Krejza,PM Siddle,11
BJ Haddin,JJ Krejza,41
JJ Krejza,BJ Haddin,32
MJ Clarke,NM Hauritz,42
NM Hauritz,MJ Clarke,52
RT Ponting,A Symonds,0
A Symonds,RT Ponting,0
BJ Haddin,RT Ponting,27
RT Ponting,BJ Haddin,20
RT Ponting,B Lee,7
B Lee,RT Ponting,8
RT Ponting,MG Johnson,12
MG Johnson,RT Ponting,20
NM Hauritz,DE Bollinger,11
DE Bollinger,NM Hauritz,6
MJ North,NM Hauritz,40
NM Hauritz,MJ North,57
DE Bollinger,BJ Haddin,0
BJ Haddin,DE Bollinger,19
RT Ponting,NM Hauritz,2
NM Hauritz,RT Ponting,6
NM Hauritz,CJ McKay,2
CJ McKay,NM Hauritz,10
MEK Hussey,NM Hauritz,53
NM Hauritz,MEK Hussey,39
MJ North,SR Watson,8
SR Watson,MJ North,13
NM Hauritz,SR Watson,8
SR Watson,NM Hauritz,19
PJ Hughes,SR Watson,358
SR Watson,PJ Hughes,398
DE Bollinger,PM Siddle,16
PM Siddle,DE Bollinger,3
DE Bollinger,MEK Hussey,4
MEK Hussey,DE Bollinger,25
MJ North,RT Ponting,33
RT Ponting,MJ North,44
NM Hauritz,RJ Harris,46
RJ Harris,NM Hauritz,28
TD Paine,MEK Hussey,7
MEK Hussey,TD Paine,23
MEK Hussey,SPD Smith,81
SPD Smith,MEK Hussey,53
MJ North,TD Paine,89
TD Paine,MJ North,73
TD Paine,BW Hilfenhaus,75
BW Hilfenhaus,TD Paine,50
BW Hilfenhaus,DE Bollinger,33
DE Bollinger,BW Hilfenhaus,26
TD Paine,MG Johnson,39
MG Johnson,TD Paine,47
TD Paine,DE Bollinger,0
DE Bollinger,TD Paine,2
MJ Clarke,TD Paine,30
TD Paine,MJ Clarke,18
SPD Smith,MG Johnson,166
MG Johnson,SPD Smith,220
SPD Smith,BW Hilfenhaus,23
BW Hilfenhaus,SPD Smith,24
SPD Smith,DE Bollinger,29
DE Bollinger,SPD Smith,0
MG Johnson,XJ Doherty,0
XJ Doherty,MG Johnson,4
XJ Doherty,PM Siddle,9
PM Siddle,XJ Doherty,10
XJ Doherty,BW Hilfenhaus,8
BW Hilfenhaus,XJ Doherty,1
BJ Haddin,RJ Harris,61
RJ Harris,BJ Haddin,106
BJ Haddin,XJ Doherty,13
XJ Doherty,BJ Haddin,6
MJ North,RJ Harris,0
RJ Harris,MJ North,0
XJ Doherty,MJ North,0
MJ North,XJ Doherty,0
MG Johnson,RJ Harris,33
RJ Harris,MG Johnson,25
MEK Hussey,RJ Harris,31
RJ Harris,MEK Hussey,14
MJ Clarke,SPD Smith,487
SPD Smith,MJ Clarke,496
RJ Harris,PM Siddle,71
PM Siddle,RJ Harris,38
RJ Harris,BW Hilfenhaus,24
BW Hilfenhaus,RJ Harris,26
SPD Smith,BJ Haddin,338
BJ Haddin,SPD Smith,331
BW Hilfenhaus,BJ Haddin,0
BJ Haddin,BW Hilfenhaus,0
SR Watson,UT Khawaja,51
UT Khawaja,SR Watson,34
UT Khawaja,MJ Clarke,85
MJ Clarke,UT Khawaja,115
MEK Hussey,UT Khawaja,52
UT Khawaja,MEK Hussey,30
BW Hilfenhaus,MA Beer,12
MA Beer,BW Hilfenhaus,2
PJ Hughes,UT Khawaja,28
UT Khawaja,PJ Hughes,24
SPD Smith,MA Beer,11
MA Beer,SPD Smith,2
SR Watson,TD Paine,26
TD Paine,SR Watson,25
TD Paine,NM Hauritz,7
NM Hauritz,TD Paine,9
BW Hilfenhaus,PR George,16
PR George,BW Hilfenhaus,2
RT Ponting,TD Paine,26
TD Paine,RT Ponting,19
NM Hauritz,PR George,5
PR George,NM Hauritz,0
PJ Hughes,SE Marsh,54
SE Marsh,PJ Hughes,35
RT Ponting,SE Marsh,63
SE Marsh,RT Ponting,42
SE Marsh,MJ Clarke,71
MJ Clarke,SE Marsh,137
MJ Clarke,RJ Harris,7
RJ Harris,MJ Clarke,10
MJ Clarke,NM Lyon,29
NM Lyon,MJ Clarke,4
PM Siddle,SE Marsh,0
SE Marsh,PM Siddle,0
UT Khawaja,RT Ponting,86
RT Ponting,UT Khawaja,93
MG Johnson,PJ Cummins,26
PJ Cummins,MG Johnson,15
MG Johnson,NM Lyon,25
NM Lyon,MG Johnson,3
MEK Hussey,TA Copeland,4
TA Copeland,MEK Hussey,13
NM Lyon,MEK Hussey,14
MEK Hussey,NM Lyon,44
UT Khawaja,BJ Haddin,2
BJ Haddin,UT Khawaja,1
UT Khawaja,MG Johnson,6
MG Johnson,UT Khawaja,8
RJ Harris,UT Khawaja,28
UT Khawaja,RJ Harris,28
RJ Harris,TA Copeland,4
TA Copeland,RJ Harris,4
TA Copeland,NM Lyon,20
NM Lyon,TA Copeland,14
SE Marsh,MEK Hussey,132
MEK Hussey,SE Marsh,181
SR Watson,SE Marsh,8
SE Marsh,SR Watson,14
PM Siddle,TA Copeland,13
TA Copeland,PM Siddle,2
PJ Hughes,DA Warner,136
DA Warner,PJ Hughes,158
BJ Haddin,JL Pattinson,52
JL Pattinson,BJ Haddin,37
BJ Haddin,MA Starc,73
MA Starc,BJ Haddin,106
PM Siddle,JL Pattinson,109
JL Pattinson,PM Siddle,67
MA Starc,JL Pattinson,0
JL Pattinson,MA Starc,0
RT Ponting,DA Warner,29
DA Warner,RT Ponting,44
DA Warner,MJ Clarke,447
MJ Clarke,DA Warner,394
DA Warner,MEK Hussey,0
MEK Hussey,DA Warner,0
BJ Haddin,DA Warner,15
DA Warner,BJ Haddin,17
DA Warner,PM Siddle,0
PM Siddle,DA Warner,2
DA Warner,JL Pattinson,1
JL Pattinson,DA Warner,4
DA Warner,MA Starc,0
MA Starc,DA Warner,0
NM Lyon,DA Warner,40
DA Warner,NM Lyon,59
DA Warner,EJM Cowan,761
EJM Cowan,DA Warner,441
EJM Cowan,SE Marsh,3
SE Marsh,EJM Cowan,6
EJM Cowan,RT Ponting,171
RT Ponting,EJM Cowan,196
EJM Cowan,MJ Clarke,186
MJ Clarke,EJM Cowan,208
EJM Cowan,MEK Hussey,0
MEK Hussey,EJM Cowan,4
EJM Cowan,BJ Haddin,2
BJ Haddin,EJM Cowan,6
JL Pattinson,BW Hilfenhaus,59
BW Hilfenhaus,JL Pattinson,51
JL Pattinson,MEK Hussey,41
MEK Hussey,JL Pattinson,64
RJ Harris,MA Starc,5
MA Starc,RJ Harris,19
BW Hilfenhaus,MA Starc,12
MA Starc,BW Hilfenhaus,7
DA Warner,SR Watson,260
SR Watson,DA Warner,232
MS Wade,MEK Hussey,225
MEK Hussey,MS Wade,217
MS Wade,RJ Harris,8
RJ Harris,MS Wade,29
RJ Harris,NM Lyon,58
NM Lyon,RJ Harris,61
EJM Cowan,SR Watson,88
SR Watson,EJM Cowan,136
BW Hilfenhaus,NM Lyon,5
NM Lyon,BW Hilfenhaus,7
NM Lyon,MA Beer,0
MA Beer,NM Lyon,2
MS Wade,BW Hilfenhaus,82
BW Hilfenhaus,MS Wade,19
CJL Rogers,SR Watson,491
SR Watson,CJL Rogers,538
CJL Rogers,EJM Cowan,12
EJM Cowan,CJL Rogers,14
CJL Rogers,MJ Clarke,112
MJ Clarke,CJL Rogers,86
CJL Rogers,SPD Smith,343
SPD Smith,CJL Rogers,324
SPD Smith,PJ Hughes,35
PJ Hughes,SPD Smith,32
PJ Hughes,PM Siddle,0
PM Siddle,PJ Hughes,1
PJ Hughes,MA Starc,0
MA Starc,PJ Hughes,0
PJ Hughes,JL Pattinson,0
JL Pattinson,PJ Hughes,2
PJ Hughes,AC Agar,60
AC Agar,PJ Hughes,98
BJ Haddin,AC Agar,29
AC Agar,BJ Haddin,32
CJL Rogers,UT Khawaja,10
UT Khawaja,CJL Rogers,12
JL Pattinson,RJ Harris,31
RJ Harris,JL Pattinson,26
DA Warner,CJL Rogers,1032
CJL Rogers,DA Warner,752
MA Starc,MJ Clarke,27
MJ Clarke,MA Starc,22
BJ Haddin,CJL Rogers,42
CJL Rogers,BJ Haddin,23
CJL Rogers,PM Siddle,8
PM Siddle,CJL Rogers,2
RJ Harris,JM Bird,12
JM Bird,RJ Harris,0
SPD Smith,SR Watson,238
SR Watson,SPD Smith,251
PM Siddle,JM Bird,12
JM Bird,PM Siddle,1
SPD Smith,JP Faulkner,14
JP Faulkner,SPD Smith,23
SPD Smith,RJ Harris,70
RJ Harris,SPD Smith,133
SR Watson,JP Faulkner,5
